state_abb,D0,D1,D2,D3,D4
NV,0.0,0.0,0.0,0.0,0.0
VA,0.0,0.0,0.0,0.0,0.0
OH,0.0,0.0,0.0,0.0,0.0
ME,0.0,0.0,0.0,0.0,0.0
WI,0.0,0.0,0.0,0.0,0.0
AK,17.88,0.0,0.0,0.0,0.0
PA,0.0,0.0,0.0,0.0,0.0
IA,0.0,0.0,0.0,0.0,0.0
NM,0.0,0.0,0.0,0.0,0.0
MA,0.0,0.0,0.0,0.0,0.0
LA,0.0,0.0,0.0,0.0,0.0
WY,0.0,0.0,0.0,0.0,0.0
IL,0.0,0.0,0.0,0.0,0.0
MS,0.0,0.0,0.0,0.0,0.0
UT,0.0,0.0,0.0,0.0,0.0
HI,0.0,0.0,0.0,0.0,0.0
MA,0.0,0.0,0.0,0.0,0.0
GA,0.0,0.0,0.0,0.0,0.0
WA,0.0,0.0,0.0,0.0,0.0
OH,0.0,0.0,0.0,0.0,0.0
HI,0.0,0.0,0.0,0.0,0.0
ME,0.0,0.0,0.0,0.0,0.0
OH,0.0,0.0,0.0,0.0,0.0
KY,0.0,0.0,0.0,0.0,0.0
CA,28.34,26.53,5.59,0.0,0.0
VA,0.0,0.0,0.0,0.0,0.0
NH,0.0,0.0,0.0,0.0,0.0
CA,6.17,0.0,0.0,0.0,0.0
CA,27.48,2.92,1.08,0.0,0.0
ID,0.0,0.0,0.0,0.0,0.0
MA,0.0,0.0,0.0,0.0,0.0
KY,0.0,0.0,0.0,0.0,0.0
PA,0.0,0.0,0.0,0.0,0.0
OH,0.0,0.0,0.0,0.0,0.0
OK,0.0,0.0,0.0,0.0,0.0
IA,0.0,0.0,0.0,0.0,0.0
NV,0.0,0.0,0.0,0.0,0.0
KY,0.0,0.0,0.0,0.0,0.0
LA,0.0,0.0,0.0,0.0,0.0
TN,0.0,0.0,0.0,0.0,0.0
CT,21.97,10.65,6.03,0.57,0.0
MN,0.0,0.0,0.0,0.0,0.0
IL,0.0,0.0,0.0,0.0,0.0
NH,0.0,0.0,0.0,0.0,0.0
